"oid","typ","cid","tna","rnk","tid","oei","oli","eag","lag","rid","lng","lat"
195295,"occ",20063,"Borophagus hilli",3,44596,"Blancan",NA,4.9,1.8,3558,-119.099998,46.299999
195346,"occ",20074,"Canis edwardii",3,44838,"Blancan",NA,4.9,1.8,2673,-107.400002,28.5
195382,"occ",20077,"Borophagus diversidens",3,44593,"Blancan",NA,4.9,1.8,2596,-100.75,21.033333
195460,"occ",20102,"Urocyon",5,41247,"Blancan",NA,4.9,1.8,1186,-117.099998,32.900002
195481,"occ",20105,"Canis",5,41198,"Blancan",NA,4.9,1.8,1186,-117.099998,32.900002
195482,"occ",20105,"Vulpes",5,41248,"Blancan",NA,4.9,1.8,1186,-117.099998,32.900002
195542,"occ",20112,"Canis latrans",3,44854,"Blancan",NA,4.9,1.8,1186,-117.099998,32.900002
195555,"occ",20113,"Canis",5,41198,"Blancan",NA,4.9,1.8,1186,-117.099998,32.900002
195612,"occ",20117,"Borophagus diversidens",3,44593,"Blancan",NA,4.9,1.8,1186,-117.099998,32.900002
195613,"occ",20117,"Canis",5,41198,"Blancan",NA,4.9,1.8,1186,-117.099998,32.900002
195614,"occ",20117,"Canis latrans",3,44854,"Blancan",NA,4.9,1.8,1186,-117.099998,32.900002
195651,"occ",20119,"Borophagus diversidens",3,44593,"Blancan",NA,4.9,1.8,1186,-117.099998,32.900002
195688,"occ",20120,"Canis latrans",3,44854,"Blancan",NA,4.9,1.8,1186,-117.099998,32.900002
195718,"occ",20121,"Canis",5,41198,"Blancan",NA,4.9,1.8,1186,-117.099998,32.900002
195740,"occ",20122,"Canis",5,41198,"Blancan",NA,4.9,1.8,1186,-117.099998,32.900002
195741,"occ",20122,"Canis latrans",3,44854,"Blancan",NA,4.9,1.8,1186,-117.099998,32.900002
195742,"occ",20122,"Urocyon",5,41247,"Blancan",NA,4.9,1.8,1186,-117.099998,32.900002
195777,"occ",20123,"Canis",5,41198,"Irvingtonian",NA,1.8,0.3,1186,-117.099998,32.900002
195865,"occ",20126,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,1186,-117.099998,32.900002
195887,"occ",20127,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,1186,-117.099998,32.900002
195926,"occ",20129,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,1186,-117.099998,32.900002
195938,"occ",20130,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,1186,-117.099998,32.900002
195952,"occ",20134,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,1186,-117.099998,32.900002
195966,"occ",20137,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,3081,-100.495201,37.047699
196022,"occ",20143,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,2419,-98.099998,40.200001
196023,"occ",20143,"Canis",5,41198,"Irvingtonian",NA,1.8,0.3,2673,-98.099998,40.200001
196024,"occ",20143,"Vulpes velox",3,52690,"Irvingtonian",NA,1.8,0.3,2419,-98.099998,40.200001
196053,"occ",20148,"Canis edwardii",3,44838,"Irvingtonian",NA,1.8,0.3,2673,-100.900002,37.099998
196067,"occ",20150,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,1022,-105.699997,39.299999
196068,"occ",20150,"Canis edwardii",3,44838,"Irvingtonian",NA,1.8,0.3,949,-105.699997,39.299999
196069,"occ",20150,"Canis",5,41198,"Irvingtonian",NA,1.8,0.3,949,-105.699997,39.299999
196070,"occ",20150,"Vulpes vulpes",3,52691,"Irvingtonian",NA,1.8,0.3,949,-105.699997,39.299999
196115,"occ",20157,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,3211,-100.5,36.799999
196116,"occ",20157,"Vulpes velox",3,52690,"Irvingtonian",NA,1.8,0.3,948,-100.5,36.799999
196166,"occ",20163,"Canidae",9,41189,"Irvingtonian",NA,1.8,0.3,6202,-101.900002,35
196213,"occ",20166,"Canis dirus",3,44837,"Irvingtonian",NA,1.8,0.3,3081,-100.477097,37.044701
196234,"occ",20168,"Vulpes",5,41248,"Irvingtonian",NA,1.8,0.3,3081,-100.477097,37.044701
196241,"occ",20169,"Vulpes",5,41248,"Irvingtonian",NA,1.8,0.3,6294,-100.477097,37.044701
196247,"occ",20171,"Canidae",9,41189,"Irvingtonian",NA,1.8,0.3,1188,-122.900002,39.299999
196265,"occ",20173,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,2893,-117,33.900002
196301,"occ",20178,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,6294,-117,33.900002
196302,"occ",20178,"Vulpes velox",3,52690,"Irvingtonian",NA,1.8,0.3,6294,-117,33.900002
196351,"occ",20187,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,2893,-117,33.900002
196378,"occ",20191,"Canidae",9,41189,"Irvingtonian",NA,1.8,0.3,2725,-117,33.900002
196424,"occ",20205,"Canis",5,41198,"Irvingtonian",NA,1.8,0.3,2725,-117,33.900002
196438,"occ",20206,"Vulpes",5,41248,"Irvingtonian",NA,1.8,0.3,2725,-117,33.900002
196451,"occ",20207,"Canidae",9,41189,"Irvingtonian",NA,1.8,0.3,2725,-117,33.900002
196461,"occ",20209,"Canidae",9,41189,"Irvingtonian",NA,1.8,0.3,2725,-117,33.900002
196549,"occ",20237,"Canis",5,41198,"Irvingtonian",NA,1.8,0.3,2725,-117,33.900002
196652,"occ",20273,"Canis dirus",3,44837,"Irvingtonian",NA,1.8,0.3,2016,-117,34.799999
196653,"occ",20273,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,2016,-117,34.799999
196681,"occ",20277,"Canis",5,41198,"Irvingtonian",NA,1.8,0.3,1764,-161.899994,66.599998
196697,"occ",20280,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,1817,-114.099998,39
196706,"occ",20281,"Canis",5,41198,"Irvingtonian",NA,1.8,0.3,2254,-87.900002,34.700001
196730,"occ",20283,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,2607,-102.300003,21.799999
196731,"occ",20283,"Canis cedazoensis",3,44831,"Irvingtonian",NA,1.8,0.3,2607,-102.300003,21.799999
196732,"occ",20283,"Canis dirus",3,44837,"Irvingtonian",NA,1.8,0.3,2607,-102.300003,21.799999
196733,"occ",20283,"Urocyon cinereoargenteus",3,52594,"Irvingtonian",NA,1.8,0.3,2607,-102.300003,21.799999
